reading_score,writing_score,math_score,male,eth_B,eth_C,eth_D,eth_E,parent_edu_bach_deg,parent_edu_h_sch,parent_edu_mast_deg,parent_edu_some_clg,parent_edu_some_h_sch,lunch_standard,test_prep_none
61,62,61,1,0,1,0,0,0,0,0,1,0,1,1
62,53,53,0,0,1,0,0,0,0,0,0,0,1,1
75,70,67,0,0,1,0,0,0,0,0,1,0,0,0
76,65,79,1,0,1,0,0,0,0,0,0,1,0,1
58,44,53,1,0,0,0,0,0,1,0,0,0,0,1
82,88,97,1,0,0,0,1,0,0,0,0,0,1,0
51,43,59,1,0,0,0,1,0,0,0,1,0,1,1
75,70,71,1,1,0,0,0,0,0,0,1,0,1,0
71,70,59,0,0,1,0,0,0,0,0,1,0,1,1
52,42,53,1,0,0,1,0,0,1,0,0,0,1,1
67,66,61,1,0,1,0,0,0,0,1,0,0,0,1
96,91,91,1,1,0,0,0,0,0,0,1,0,1,0
76,70,52,0,1,0,0,0,0,0,0,0,0,0,1
65,63,65,1,1,0,0,0,0,0,0,0,0,1,0
70,62,52,0,1,0,0,0,0,0,1,0,0,0,0
89,88,70,0,0,1,0,0,0,0,0,1,0,1,0
75,76,81,1,0,0,0,1,0,0,0,0,1,1,0
53,53,49,0,0,1,0,0,0,0,0,0,0,1,1
42,38,39,1,0,0,1,0,1,0,0,0,0,0,0
77,80,57,0,0,1,0,0,0,0,0,0,0,1,0
72,79,51,0,0,1,0,0,1,0,0,0,0,0,0
60,60,50,0,0,1,0,0,0,0,0,0,1,0,0
95,89,82,0,0,0,1,0,0,0,0,0,0,1,1
66,67,59,0,0,1,0,0,0,0,0,0,0,1,1
68,73,57,0,0,0,0,1,0,0,0,0,0,0,0
49,45,38,0,0,0,0,1,0,0,0,0,1,0,1
78,75,88,1,0,0,1,0,0,1,0,0,0,1,1
92,87,86,0,0,1,0,0,1,0,0,0,0,1,1
80,82,73,0,0,1,0,0,0,0,0,1,0,1,1
93,91,97,1,0,1,0,0,0,0,0,0,0,1,1
89,86,79,0,0,0,1,0,0,0,0,1,0,0,1
81,79,72,0,1,0,0,0,0,0,0,0,1,0,1
85,82,76,0,1,0,0,0,0,1,0,0,0,0,0
68,69,77,1,0,0,1,0,0,0,0,0,1,1,0
94,87,76,0,1,0,0,0,0,0,0,0,0,0,0
84,82,85,0,0,1,0,0,0,0,0,0,0,1,1
95,92,84,0,0,0,0,1,0,0,0,0,0,1,1
68,72,70,1,0,0,0,1,1,0,0,0,0,0,0
58,59,59,0,0,0,1,0,0,0,0,0,1,1,1
